"somContent","stratum","geoStrata","predictedSOM","x","y"
7.9778058151204,3,16,7.01970367019481,259437.1094,587147.1875
8.28842462829756,3,16,7.01510094628788,259439.1094,587147.1875
8.44846103459982,3,16,7.03853215601573,259433.1094,587149.1875
8.05183060825767,3,16,7.0314006494528,259435.1094,587149.1875
8.21421137719474,3,16,7.02501406184157,259437.1094,587149.1875
7.63550207746174,3,16,7.06462012205646,259429.1094,587151.1875
8.18508143201295,3,16,7.0550674736949,259431.1094,587151.1875
7.43764704596295,3,16,7.04624499705646,259433.1094,587151.1875
7.76794545252251,3,16,7.03814583751806,259435.1094,587151.1875
7.92244168718983,3,16,7.03080048013877,259437.1094,587151.1875
7.68420148945921,3,16,7.09936302011361,259425.1094,587153.1875
7.32473960822731,3,16,7.0873898671649,259427.1094,587153.1875
8.0594447156666,3,16,7.07586691050289,259429.1094,587153.1875
7.62750415800103,3,16,7.06493081230537,259431.1094,587153.1875
8.07510617491196,3,16,7.05471668535276,259433.1094,587153.1875
7.71432222668347,3,16,7.04535713995346,259435.1094,587153.1875
8.11664418976564,3,16,7.0369773108167,259437.1094,587153.1875
7.33291249163947,3,16,7.14193643037689,259421.1094,587155.1875
7.09035797524571,3,16,7.12817107380733,259423.1094,587155.1875
7.48946344911017,3,16,7.11454686292115,259425.1094,587155.1875
7.54420696939394,3,16,7.10120757900306,259427.1094,587155.1875
7.50281059014642,3,16,7.08829819257855,259429.1094,587155.1875
7.30878905275141,3,16,7.07596256611714,259431.1094,587155.1875
7.91439375127081,3,16,7.06434181660567,259433.1094,587155.1875
7.33726370933704,3,16,7.05357333498008,259435.1094,587155.1875
6.96751075173926,3,16,7.19081593712856,259417.1094,587157.1875
7.74231303176833,3,16,7.17595469934122,259419.1094,587157.1875
8.39913598116262,3,16,7.1609064820933,259421.1094,587157.1875
7.27095351403693,3,16,7.14581299366768,259423.1094,587157.1875
7.20978612968185,3,16,7.13082427072469,259425.1094,587157.1875
7.64115014049432,3,16,7.11609456015105,259427.1094,587157.1875
7.57390303176987,3,16,7.1017784324784,259429.1094,587157.1875
7.39271710564862,3,16,7.08802782309761,259431.1094,587157.1875
7.27931001836681,3,16,7.07499019216986,259433.1094,587157.1875
